FCS	2016-01-04	2016-09-20
FDC	2015-10-15	2019-08-05
FDO	2000-01-03	2015-07-13
FEIC	2000-01-03	2016-09-21
FIT	2015-06-18	2021-01-14
FLIR	2000-01-03	2021-05-14
FMD	2003-10-31	2016-08-30
FNFG	2001-01-02	2016-08-08
FNFV	2014-06-23	2017-11-20
FPL	2014-03-27	2024-05-03
FRX	2000-01-03	2014-07-01
FSL	2011-05-26	2015-12-15
FST	2020-10-12	2022-08-25
FTO	2001-01-02	2011-11-30
FWLT	2000-01-03	2014-12-03
FYBR	2021-05-04	2026-01-20
GAS	2000-01-03	2016-07-01
GBT	2015-08-12	2022-11-02
GCI	2000-01-03	2019-11-19
GES	2000-01-03	2026-01-22
GGP	2000-01-03	2018-08-28
GMCR	2001-01-12	2016-03-04
GNC	2011-04-01	2020-06-30
GRA	2000-01-03	2021-09-22
GRUB	2014-04-04	2021-06-11
GSF	2011-03-29	2015-10-22
GTI	2000-01-03	2015-08-25
GWR	2000-01-03	2020-01-02
GXP	2000-01-03	2018-06-05
HAR	2016-01-04	2017-03-10
HCBK	2000-01-03	2015-10-30
HCP	2021-12-09	2025-02-27
HCR	2019-06-03	2020-07-13
HDS	2013-06-27	2020-12-24
HES	2000-01-03	2025-07-18
HLTH	2009-02-13	2019-09-10
HMA	2022-03-14	2023-07-25
HNT	2000-01-03	2016-04-01
HNZ	2001-01-02	2013-10-17
HOLX	2000-01-03	2026-04-07
HOT	2016-01-04	2016-10-03
HRC	2000-01-03	2021-12-13
HSH	2000-01-03	2014-08-29
HSP	2004-05-03	2015-09-02
HTS	2008-04-29	2016-07-20
HTV	2006-12-28	2009-06-04
HZNP	2011-07-28	2023-10-06
IAA	2019-06-17	2023-03-20
IDTI	2000-01-03	2019-03-29
IFIN	2024-08-22	2024-08-30
IM	2016-01-04	2016-12-13
IMCL	2016-01-19	2018-10-05
IMMU	2000-01-03	2020-10-23
IMS	2014-04-03	2016-10-11
IPG	2000-01-03	2025-11-26
IPHI	2010-11-12	2021-04-20
IRF	2000-01-03	2015-01-13
ISCA	2000-01-03	2019-10-18
ISIL	2001-01-02	2017-02-27
ITC	2005-07-26	2016-10-24
ITCI	2014-01-07	2025-04-02
ITG	2000-01-03	2019-02-28
JAH	2016-01-04	2016-04-25
JAMF	2020-07-22	2026-01-30
JNPR	2000-01-03	2025-07-02
JNY	2000-01-03	2014-04-09
JOY	2001-05-25	2017-04-13
JUNO	2014-12-19	2018-03-06
JWN	2000-01-03	2025-05-20
K	2000-01-03	2025-12-11
KATE	2000-01-03	2017-07-12
KCI	2004-02-25	2012-11-12
KING	2014-03-25	2016-03-02
KLG	2023-09-27	2023-10-02
KSU	2000-01-03	2021-12-13
KWK	2000-01-03	2015-01-16
LEAF	2011-01-27	2021-06-14
LEAP	2020-11-02	2022-08-16
LEXEA	2016-11-04	2019-07-26
LGF-B	2016-12-09	2025-05-06
LLTC	2016-01-04	2017-03-20
LM	2000-01-03	2020-07-31
LNKD	2011-05-19	2016-12-16
LO	2002-02-01	2015-06-22
LOGM	2009-07-01	2020-08-31
LPNT	2000-01-03	2018-11-16
LPT	2000-01-03	2020-02-03
LSI	2000-01-03	2023-07-19
LVGO	2019-07-25	2020-10-30
