ticker,bucket,observed_delist_date,crsp_code,dlret,reason,exchange,last_trade_close,payout_per_share,stock_ratio,acquirer_price,acquirer_ticker,recovery_ratio,terminal_value,dlret_method,dlret_confidence,payout_source
SYNH,merger,2023-09-28,231,0.000465,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,42.980000,43.000000,,,,,43.000000,cash_only,high,8K_2.01
TAHO,liquidation,2019-03-18,400,-0.300000,"Form 25 + Form 15, no merger 8-K: voluntary dereg / liquidation",nyse,3.640000,,,,,,,shumway_nyse_amex,medium,
TCF,merger,2021-06-09,233,-0.003719,M&A 2.01+5.01 (subsidiary buyback / parent acquisition),other,45.180000,,3.002800,14.990000,HBAN,,45.011972,stock_only,medium,
TCO,merger,2020-12-29,231,0.000233,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,42.990000,43.000000,,,,,43.000000,cash_only,high,8K_2.01
TECD,merger,2020-06-30,200,0.000690,M&A 2.01+3.01 (acquisition with delisting),nasdaq,144.900000,145.000000,,,,,145.000000,cash_only,high,8K_2.01
TEG,liquidation,2015-06-29,400,-0.300000,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",nyse,69.660000,,,,,,,shumway_nyse_amex,medium,
TERP,merger,2020-07-31,200,,M&A 2.01+3.01 (acquisition with delisting),nasdaq,19.350000,,,,,,,abstain_no_consideration,low,
TGI,merger,2025-07-24,231,-0.000384,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,26.010000,26.000000,,,,,26.000000,cash_only,high,8K_2.01
TGNA,merger,2026-03-20,231,0.098352,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,20.030000,22.000000,,,,,22.000000,cash_only,high,8K_2.01
THOR,merger,2020-01-23,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,67.990000,,,,,,,abstain_no_consideration,low,
THRX,exchange_transfer,2024-02-14,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),other,4.060000,,,,,,,exchange_transfer_zero,high,
THS,merger,2026-02-11,231,-0.079001,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,24.430000,22.500000,,,,,22.500000,cash_only,high,8K_2.01
TIBX,merger,2014-12-30,231,-0.001248,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,24.030000,24.000000,,,,,24.000000,cash_only,medium,DEFM14A
TIE,merger,2013-01-07,200,0.000000,M&A 2.01+3.01 (acquisition with delisting),nyse,16.500000,16.500000,,,,,16.500000,cash_only,high,8K_2.01
TIF,merger,2021-01-08,231,0.000304,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,131.460000,131.500000,,,,,131.500000,cash_only,high,8K_2.01
TIN,merger,2017-02-03,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,18.150000,,,,,,,abstain_no_consideration,low,
TMUSR,expiration,2020-07-28,600,,"Non-equity security (asset_type='stock', name='tmobile us inc tradeable rights june 2020')",nasdaq,0.121000,,,,,,,dropped_expiration,low,
TMX,merger,2022-10-28,231,-0.087140,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,37.870000,34.570000,,,,,34.570000,cash_only,high,8K_2.01
TRCO,merger,2019-09-27,231,-0.003429,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,46.660000,46.500000,,,,,46.500000,cash_only,medium,8K_1.01
TRH,merger,2012-03-05,231,0.007902,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,60.900000,14.220000,0.145000,325.250000,Y,,61.381250,cash_plus_stock,medium,
